NORMAL COEFS:
    TotalPop: 1923617609520.36
    Women: -978396828543.6194
    Men: -945404103722.3776
    Drive: 1.8503587728840742
    Transit: 1.1249248695260718
    Carpool: 0.8011267539915006
    Walk: 0.727587624834013
    WorkAtHome: 0.7101597518074861
    White: 0.660872695338083
    IncomePerCap: 0.6422427720436473
    PrivateWork: 0.5653577925848481
    Employed: 0.5618517032327359
    Hispanic: 0.5421503093117402
    Production: 0.4987399124043507
    PublicWork: 0.49804052779770025
    Professional: 0.4729446239898335
    OtherTransp: 0.4487740864173462
    Service: 0.43696397349668814
    Construction: 0.4257832055962559
    Black: 0.40108160732783366
    SelfEmployed: 0.33619939921480574
    Office: 0.3007227659682366
    Asian: 0.2740822191557961
    Native: 0.1726703591118034
    Pacific: 0.08501174001005044
    IncomePerCapErr: -0.08035660868273845
    MeanCommute: 0.0656749155359071
    ChildPoverty: 0.025213146037142992
    Citizen: 0.023156044504558007
    Poverty: 0.021869331516139654
    Income: 0.014363623770517475
    IncomeErr: 0.013522182840392234
    Unemployment: 0.012965250961122277
    FamilyWork: -0.007777602212839189

REDUCED COEFS:
    White: -0.7097547915718813
    IncomePerCap: 0.6629086851003213
    Black: -0.5001157794505929
    Hispanic: -0.42482209449298824
    Drive: -0.3518316417053812
    Professional: -0.25788904614076885
    PublicWork: -0.22950422933636477
    PrivateWork: -0.22676543908760255
    Native: -0.13924427809358952
    WorkAtHome: -0.13879103898658773
    Carpool: -0.1363818976815059
    Production: -0.10325873144359894
    Service: 0.08436153850299248
    IncomePerCapErr: -0.07916233420073271
    MeanCommute: 0.07330776514821698
    Poverty: 0.04542056084044818
    Income: 0.045380537198640714
    ChildPoverty: 0.019918329625999077
    Construction: -0.01630185336279905
    Unemployment: 0.0156731498697785
    IncomeErr: 0.014751337336241914
